Date,Time,"Gust Speed (S-WCF 21038195:21038470-2),m/s,Tracadie Wharf","Solar Radiation (S-LIB 21038195:21025504-1),W/m²,Tracadie Wharf","Rain (S-RGB 21038195:21038368-1),mm,Tracadie Wharf","Temperature (S-TMB 21038195:21098956-1),°C,Tracadie Wharf","Battery (RX3000 BATTERY 21038195:21038195-B),V,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038454-3),°,Tracadie Wharf","Barometric Pressure (M-BP 21038195:21548412-1),kPa,Tracadie Wharf","Water Pressure (M-WP04 21038195:21558158-1),kPa,Tracadie Wharf","Diff Pressure (M-DP04 21038195:21558158-2),kPa,Tracadie Wharf","Water Temperature (M-WT 21038195:21558158-3),°C,Tracadie Wharf","Water Level (M-WL04 21038195:21558158-4),meters,Tracadie Wharf","Average wind speed (S-WCF 21038195:21038454-1),Km/h,Tracadie Wharf","Wind gust  speed (S-WCF 21038195:21038454-2),Km/h,Tracadie Wharf","Average Wind Speed (S-WCF 21038195:21038470-1),Km/h,Tracadie Wharf","Wind Gust Speed (S-WCF 21038195:21038470-2),Km/h,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038470-3),°,Tracadie Wharf","Rain (S-RGB 21038195:20698368-1),mm,Tracadie Wharf","Temperature (S-TMB 21038195:21038284-1),°C,Tracadie Wharf","Wind Speed (S-WCF 21038195:21038470-1),m/s,Tracadie Wharf"
12/01/2023,01:54:00 -0400,,1,0,3.06,,166,,,,,,16,25,,,,,,
12/01/2023,01:56:00 -0400,,1,0,3.04,,160,,,,,,16,19,,,,,,
12/01/2023,01:57:00 -0400,,,,,4.242,,101.94,106.823,4.883,1.12,-0.42902,,,,,,,,
12/01/2023,01:58:00 -0400,,1,0,3.01,,160,,,,,,12,18,,,,,,
12/01/2023,02:00:00 -0400,,1,0,3.06,,159,,,,,,16,19,,,,,,
12/01/2023,02:02:00 -0400,,1,0,3.09,4.241,159,101.925,106.699,4.774,1.12,-0.43982,17,22,,,,,,
12/01/2023,02:04:00 -0400,,1,0,3.12,,164,,,,,,17,23,,,,,,
12/01/2023,02:06:00 -0400,,1,0,3.14,,161,,,,,,18,25,,,,,,
12/01/2023,02:07:00 -0400,,,,,4.248,,101.939,106.576,4.637,1.12,-0.45351,,,,,,,,
12/01/2023,02:08:00 -0400,,1,0,3.12,,161,,,,,,14,17,,,,,,
12/01/2023,02:10:00 -0400,,1,0,3.17,,164,,,,,,19,25,,,,,,
12/01/2023,02:12:00 -0400,,1,0,3.19,4.236,166,101.937,106.442,4.505,1.01,-0.4666,19,25,,,,,,
12/01/2023,02:14:00 -0400,,1,0,3.19,,164,,,,,,18,26,,,,,,
12/01/2023,02:16:00 -0400,,1,0,3.27,,160,,,,,,20,28,,,,,,
12/01/2023,02:17:00 -0400,,,,,4.241,,101.939,106.314,4.375,1.01,-0.47953,,,,,,,,
12/01/2023,02:18:00 -0400,,1,0,3.25,,166,,,,,,17,23,,,,,,
12/01/2023,02:20:00 -0400,,1,0,3.3,,168,,,,,,22,35,,,,,,
12/01/2023,02:22:00 -0400,,1,0,3.3,4.25,170,101.928,106.177,4.249,1.01,-0.49205,20,25,,,,,,
12/01/2023,02:24:00 -0400,,1,0,3.3,,167,,,,,,22,29,,,,,,
12/01/2023,02:26:00 -0400,,1,0,3.3,,166,,,,,,20,29,,,,,,
12/01/2023,02:27:00 -0400,,,,,4.235,,101.921,106.058,4.137,1.01,-0.50321,,,,,,,,
12/01/2023,02:28:00 -0400,,1,0,3.33,,170,,,,,,24,30,,,,,,
12/01/2023,02:30:00 -0400,,1,0,3.3,,167,,,,,,20,25,,,,,,
12/01/2023,02:32:00 -0400,,1,0,3.35,4.239,170,101.931,105.957,4.026,1.01,-0.5143,22,31,,,,,,
12/01/2023,02:34:00 -0400,,1,0,3.38,,163,,,,,,19,29,,,,,,
12/01/2023,02:36:00 -0400,,1,0,3.43,,166,,,,,,22,34,,,,,,
12/01/2023,02:37:00 -0400,,,,,4.248,,101.916,105.842,3.926,1.01,-0.52422,,,,,,,,
12/01/2023,02:38:00 -0400,,1,0,3.43,,166,,,,,,23,34,,,,,,
12/01/2023,02:40:00 -0400,,1,0,3.41,,167,,,,,,20,25,,,,,,
12/01/2023,02:42:00 -0400,,1,0,3.41,4.233,168,101.896,105.692,3.796,1.01,-0.53716,20,28,,,,,,
12/01/2023,02:44:00 -0400,,1,0,3.38,,164,,,,,,20,29,,,,,,
12/01/2023,02:46:00 -0400,,1,0,3.41,,166,,,,,,19,26,,,,,,
12/01/2023,02:47:00 -0400,,,,,4.239,,101.919,105.595,3.676,1.01,-0.54911,,,,,,,,
12/01/2023,02:48:00 -0400,,1,0,3.43,,174,,,,,,20,31,,,,,,
12/01/2023,02:50:00 -0400,,1,0,3.46,,166,,,,,,22,30,,,,,,
12/01/2023,02:52:00 -0400,,1,0,3.49,4.247,166,101.9,105.462,3.562,1.01,-0.56039,19,28,,,,,,
12/01/2023,02:54:00 -0400,,1,0,3.54,,164,,,,,,22,29,,,,,,
12/01/2023,02:56:00 -0400,,1,0,3.51,,168,,,,,,20,28,,,,,,
12/01/2023,02:57:00 -0400,,,,,4.235,,101.904,105.33,3.426,1.01,-0.57395,,,,,,,,
12/01/2023,02:58:00 -0400,,1,0,3.59,,170,,,,,,22,32,,,,,,
12/01/2023,03:00:00 -0400,,1,0,3.59,,168,,,,,,20,28,,,,,,
12/01/2023,03:02:00 -0400,,1,0,3.56,4.238,161,101.906,105.237,3.331,1.01,-0.58337,17,23,,,,,,
12/01/2023,03:04:00 -0400,,1,0,3.56,,156,,,,,,17,24,,,,,,
12/01/2023,03:06:00 -0400,,1,0,3.56,,170,,,,,,18,24,,,,,,
12/01/2023,03:07:00 -0400,,,,,4.245,,101.902,105.123,3.221,1.01,-0.59438,,,,,,,,
12/01/2023,03:08:00 -0400,,1,0,3.54,,173,,,,,,17,29,,,,,,
12/01/2023,03:10:00 -0400,,1,0,3.56,,167,,,,,,18,28,,,,,,
12/01/2023,03:12:00 -0400,,1,0,3.62,4.235,163,101.886,105.026,3.14,1.01,-0.60245,18,25,,,,,,
12/01/2023,03:14:00 -0400,,1,0,3.64,,173,,,,,,19,25,,,,,,
12/01/2023,03:16:00 -0400,,1,0,3.72,,168,,,,,,23,32,,,,,,
12/01/2023,03:17:00 -0400,,,,,4.238,,101.894,104.937,3.043,1.01,-0.61202,,,,,,,,
12/01/2023,03:18:00 -0400,,1,0,3.67,,167,,,,,,19,22,,,,,,
12/01/2023,03:20:00 -0400,,1,0,3.67,,163,,,,,,18,24,,,,,,
