Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP"
01/01/2024,16:30:00 -0400,,,4.158,,,,,,,
01/01/2024,16:35:00 -0400,,,4.158,,,,,,,
01/01/2024,16:40:00 -0400,,,4.155,,,,,,,
01/01/2024,16:45:00 -0400,,,4.145,,,,,,,
01/01/2024,16:50:00 -0400,,,4.146,,,,,,,
01/01/2024,16:55:00 -0400,,,4.148,,,,,,,
01/01/2024,17:00:00 -0400,,,4.137,,,,,,,
01/01/2024,17:05:00 -0400,,,4.14,,,,,,,
01/01/2024,17:10:00 -0400,,,4.14,,,,,,,
01/01/2024,17:15:00 -0400,,,4.133,,,,,,,
01/01/2024,17:20:00 -0400,,,4.134,,,,,,,
01/01/2024,17:25:00 -0400,,,4.137,,,,,,,
01/01/2024,17:30:00 -0400,,,4.127,,,,,,,
01/01/2024,17:35:00 -0400,,,4.131,,,,,,,
01/01/2024,17:40:00 -0400,,,4.133,,,,,,,
01/01/2024,17:45:00 -0400,,,4.123,,,,,,,
01/01/2024,17:50:00 -0400,,,4.128,,,,,,,
01/01/2024,17:55:00 -0400,,,4.128,,,,,,,
01/01/2024,18:00:00 -0400,,,4.12,,,,,,,
01/01/2024,18:05:00 -0400,,,4.125,,,,,,,
01/01/2024,18:10:00 -0400,,,4.125,,,,,,,
01/01/2024,18:15:00 -0400,,,4.117,,,,,,,
01/01/2024,18:20:00 -0400,,,4.122,,,,,,,
01/01/2024,18:25:00 -0400,,,4.122,,,,,,,
01/01/2024,18:30:00 -0400,,,4.114,,,,,,,
01/01/2024,18:35:00 -0400,,,4.12,,,,,,,
01/01/2024,18:40:00 -0400,,,4.12,,,,,,,
01/01/2024,18:45:00 -0400,,,4.114,,,,,,,
01/01/2024,18:50:00 -0400,,,4.117,,,,,,,
01/01/2024,18:55:00 -0400,,,4.119,,,,,,,
01/01/2024,19:00:00 -0400,,,4.11,,,,,,,
01/01/2024,19:05:00 -0400,,,4.116,,,,,,,
01/01/2024,19:10:00 -0400,,,4.117,,,,,,,
01/01/2024,19:15:00 -0400,,,4.108,,,,,,,
01/01/2024,19:20:00 -0400,,,4.114,,,,,,,
01/01/2024,19:25:00 -0400,,,4.114,,,,,,,
01/01/2024,19:30:00 -0400,,,4.108,,,,,,,
01/01/2024,19:35:00 -0400,,,4.111,,,,,,,
01/01/2024,19:40:00 -0400,,,4.113,,,,,,,
01/01/2024,19:45:00 -0400,,,4.107,,,,,,,
01/01/2024,19:50:00 -0400,,,4.111,,,,,,,
01/01/2024,19:55:00 -0400,,,4.111,,,,,,,
01/01/2024,20:00:00 -0400,,,4.105,,,,,,,
01/01/2024,20:05:00 -0400,,,4.11,,,,,,,
01/01/2024,20:10:00 -0400,,,4.111,,,,,,,
01/01/2024,20:15:00 -0400,,,4.104,,,,,,,
01/01/2024,20:20:00 -0400,,,4.108,,,,,,,
01/01/2024,20:25:00 -0400,,,4.11,,,,,,,
01/01/2024,20:30:00 -0400,,,4.102,,,,,,,
01/01/2024,20:35:00 -0400,,,4.107,,,,,,,
01/01/2024,20:40:00 -0400,,,4.108,,,,,,,
01/01/2024,20:45:00 -0400,,,4.101,,,,,,,
01/01/2024,20:50:00 -0400,,,4.105,,,,,,,
01/01/2024,20:55:00 -0400,,,4.107,,,,,,,
01/01/2024,21:00:00 -0400,,,4.099,,,,,,,
01/01/2024,21:05:00 -0400,,,4.104,,,,,,,
01/01/2024,21:10:00 -0400,,,4.105,,,,,,,
01/01/2024,21:15:00 -0400,,,4.099,,,,,,,
01/01/2024,21:20:00 -0400,,,4.102,,,,,,,
01/01/2024,21:25:00 -0400,,,4.104,,,,,,,
01/01/2024,21:30:00 -0400,,,4.098,,,,,,,
01/01/2024,21:35:00 -0400,,,4.102,,,,,,,
01/01/2024,21:40:00 -0400,,,4.104,,,,,,,
01/01/2024,21:45:00 -0400,,,4.098,,,,,,,
01/01/2024,21:50:00 -0400,,,4.101,,,,,,,
01/01/2024,21:55:00 -0400,,,4.102,,,,,,,
01/01/2024,22:00:00 -0400,,,4.095,,,,,,,
01/01/2024,22:05:00 -0400,,,4.099,,,,,,,
01/01/2024,22:10:00 -0400,,,4.101,,,,,,,
01/01/2024,22:15:00 -0400,,,4.093,,,,,,,
01/01/2024,22:20:00 -0400,,,4.099,,,,,,,
01/01/2024,22:25:00 -0400,,,4.101,,,,,,,
01/01/2024,22:30:00 -0400,,,4.093,,,,,,,
01/01/2024,22:35:00 -0400,,,4.098,,,,,,,
01/01/2024,22:40:00 -0400,,,4.099,,,,,,,
01/01/2024,22:45:00 -0400,,,4.092,,,,,,,
01/01/2024,22:50:00 -0400,,,4.098,,,,,,,
01/01/2024,22:55:00 -0400,,,4.099,,,,,,,
01/01/2024,23:00:00 -0400,,,4.092,,,,,,,
01/01/2024,23:05:00 -0400,,,4.096,,,,,,,
01/01/2024,23:10:00 -0400,,,4.096,,,,,,,
01/01/2024,23:15:00 -0400,,,4.09,,,,,,,
01/01/2024,23:20:00 -0400,,,4.095,,,,,,,
01/01/2024,23:25:00 -0400,,,4.096,,,,,,,
01/01/2024,23:30:00 -0400,,,4.09,,,,,,,
01/01/2024,23:35:00 -0400,,,4.093,,,,,,,
01/01/2024,23:40:00 -0400,,,4.096,,,,,,,
01/01/2024,23:45:00 -0400,,,4.089,,,,,,,
01/01/2024,23:50:00 -0400,,,4.093,,,,,,,
01/01/2024,23:55:00 -0400,,,4.095,,,,,,,
01/02/2024,00:00:00 -0400,,,4.087,,,,,,,
01/02/2024,00:05:00 -0400,,,4.092,,,,,,,
01/02/2024,00:10:00 -0400,,,4.095,,,,,,,
01/02/2024,00:15:00 -0400,,,4.086,,,,,,,
01/02/2024,00:20:00 -0400,,,4.09,,,,,,,
01/02/2024,00:25:00 -0400,,,4.093,,,,,,,
01/02/2024,00:30:00 -0400,,,4.086,,,,,,,
01/02/2024,00:35:00 -0400,,,4.09,,,,,,,
01/02/2024,00:40:00 -0400,,,4.092,,,,,,,
01/02/2024,00:45:00 -0400,,,4.086,,,,,,,
01/02/2024,00:50:00 -0400,,,4.09,,,,,,,
01/02/2024,00:55:00 -0400,,,4.092,,,,,,,
01/02/2024,01:00:00 -0400,,,4.084,,,,,,,
01/02/2024,01:05:00 -0400,,,4.089,,,,,,,
01/02/2024,01:10:00 -0400,,,4.09,,,,,,,
